year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2017,8-team no byes,Indiana St.,9,196.0,-2.1,69.7,0,0.0,0
2017,8-team no byes,Drake,10,247.0,-7.5,69.7,0,0.0,0
2017,10-team 6 single byes,Illinois St.,1,40.0,15.2,64.8,1652,16.52,0
2017,10-team 6 single byes,Wichita St.,2,12.0,24.9,68.6,8068,80.68,1
2017,10-team 6 single byes,Northern Iowa,3,181.0,-1.1,63.4,6,0.06,0
2017,10-team 6 single byes,Southern Illinois,4,179.0,-1.1,65.4,10,0.1,0
2017,10-team 6 single byes,Loyola Chicago,5,97.0,6.4,65.7,178,1.78,0
2017,10-team 6 single byes,Missouri St.,6,116.0,4.2,66.0,66,0.66,0
2017,10-team 6 single byes,Bradley,7,230.0,-5.8,67.7,0,0.0,0
2017,10-team 6 single byes,Evansville,8,122.0,3.7,66.6,20,0.2,0
2017,10-team 6 single byes,Indiana St.,9,196.0,-2.1,69.7,0,0.0,0
2017,10-team 6 single byes,Drake,10,247.0,-7.5,69.7,0,0.0,0
2018,10-team double bye,Loyola Chicago,1,41.0,15.1,65.2,7113,71.13,1
2018,10-team double bye,Southern Illinois,2,148.0,1.5,66.7,704,7.04,0
2018,10-team double bye,Illinois St.,3,142.0,1.9,68.9,149,1.49,0
2018,10-team double bye,Drake,4,146.0,1.7,68.1,148,1.48,0
2018,10-team double bye,Bradley,5,123.0,4.1,65.8,356,3.56,0
2018,10-team double bye,Indiana St.,6,144.0,1.8,69.9,119,1.19,0
2018,10-team double bye,Missouri St.,7,119.0,4.8,65.5,423,4.23,0
2018,10-team double bye,Evansville,8,135.0,2.3,65.6,204,2.04,0
2018,10-team double bye,Northern Iowa,9,104.0,6.4,62.5,717,7.17,0
2018,10-team double bye,Valparaiso,10,163.0,0.1,69.7,67,0.67,0
2018,8-team no byes,Loyola Chicago,1,41.0,15.1,65.2,6136,61.36,1
2018,8-team no byes,Southern Illinois,2,148.0,1.5,66.7,419,4.19,0
2018,8-team no byes,Illinois St.,3,142.0,1.9,68.9,497,4.97,0
2018,8-team no byes,Drake,4,146.0,1.7,68.1,365,3.65,0
2018,8-team no byes,Bradley,5,123.0,4.1,65.8,696,6.96,0
2018,8-team no byes,Indiana St.,6,144.0,1.8,69.9,493,4.93,0
2018,8-team no byes,Missouri St.,7,119.0,4.8,65.5,1062,10.62,0
2018,8-team no byes,Evansville,8,135.0,2.3,65.6,332,3.32,0
2018,8-team no byes,Northern Iowa,9,104.0,6.4,62.5,0,0.0,0
2018,8-team no byes,Valparaiso,10,163.0,0.1,69.7,0,0.0,0
2018,10-team 6 single byes,Loyola Chicago,1,41.0,15.1,65.2,5849,58.49,1
2018,10-team 6 single byes,Southern Illinois,2,148.0,1.5,66.7,471,4.71,0
2018,10-team 6 single byes,Illinois St.,3,142.0,1.9,68.9,556,5.56,0
2018,10-team 6 single byes,Drake,4,146.0,1.7,68.1,345,3.45,0
2018,10-team 6 single byes,Bradley,5,123.0,4.1,65.8,777,7.77,0
2018,10-team 6 single byes,Indiana St.,6,144.0,1.8,69.9,518,5.18,0
2018,10-team 6 single byes,Missouri St.,7,119.0,4.8,65.5,661,6.61,0
2018,10-team 6 single byes,Evansville,8,135.0,2.3,65.6,120,1.2,0
2018,10-team 6 single byes,Northern Iowa,9,104.0,6.4,62.5,576,5.76,0
2018,10-team 6 single byes,Valparaiso,10,163.0,0.1,69.7,127,1.27,0
2019,10-team double bye,Loyola Chicago,1,105.0,6.0,62.7,4318,43.18,0
2019,10-team double bye,Drake,2,119.0,5.1,69.0,3732,37.32,0
2019,10-team double bye,Southern Illinois,3,163.0,-0.2,65.7,491,4.91,0
2019,10-team double bye,Missouri St.,4,176.0,-0.7,65.9,336,3.36,0
2019,10-team double bye,Bradley,5,153.0,0.6,64.9,480,4.8,1
2019,10-team double bye,Northern Iowa,6,171.0,-0.6,64.1,339,3.39,0
2019,10-team double bye,Illinois St.,7,211.0,-3.7,66.7,114,1.14,0
2019,10-team double bye,Indiana St.,8,201.0,-3.2,68.6,122,1.22,0
2019,10-team double bye,Valparaiso,9,220.0,-4.8,64.9,49,0.49,0
2019,10-team double bye,Evansville,10,257.0,-7.5,69.5,19,0.19,0
2019,8-team no byes,Loyola Chicago,1,105.0,6.0,62.7,3408,34.08,0
2019,8-team no byes,Drake,2,119.0,5.1,69.0,2975,29.75,0
2019,8-team no byes,Southern Illinois,3,163.0,-0.2,65.7,797,7.97,0
2019,8-team no byes,Missouri St.,4,176.0,-0.7,65.9,647,6.47,0
2019,8-team no byes,Bradley,5,153.0,0.6,64.9,889,8.89,1
2019,8-team no byes,Northern Iowa,6,171.0,-0.6,64.1,698,6.98,0
2019,8-team no byes,Illinois St.,7,211.0,-3.7,66.7,277,2.77,0
2019,8-team no byes,Indiana St.,8,201.0,-3.2,68.6,309,3.09,0
2019,8-team no byes,Valparaiso,9,220.0,-4.8,64.9,0,0.0,0
2019,8-team no byes,Evansville,10,257.0,-7.5,69.5,0,0.0,0
2019,10-team 6 single byes,Loyola Chicago,1,105.0,6.0,62.7,3455,34.55,0
2019,10-team 6 single byes,Drake,2,119.0,5.1,69.0,2979,29.79,0
2019,10-team 6 single byes,Southern Illinois,3,163.0,-0.2,65.7,823,8.23,0
2019,10-team 6 single byes,Missouri St.,4,176.0,-0.7,65.9,656,6.56,0
2019,10-team 6 single byes,Bradley,5,153.0,0.6,64.9,925,9.25,1
2019,10-team 6 single byes,Northern Iowa,6,171.0,-0.6,64.1,737,7.37,0
2019,10-team 6 single byes,Illinois St.,7,211.0,-3.7,66.7,160,1.6,0
2019,10-team 6 single byes,Indiana St.,8,201.0,-3.2,68.6,170,1.7,0
2019,10-team 6 single byes,Valparaiso,9,220.0,-4.8,64.9,61,0.61,0
